"","","","E","","","","E","","","","E","","","","E"
"Aprostocetus","polynemae","","HT","Aprostocetus","polynemae","","HT","Aprostocetus","polynemae","","HT","Aprostocetus","polynemae","","HT"
"Aprostocetus","prolixus","","HT","Aprostocetus","prolixus","","HT","Aprostocetus","prolixus","","HT","Aprostocetus","prolixus","","HT"
"Aprostocetus","pseudopodiellus","","HT","Aprostocetus","pseudopodiellus","","HT","Aprostocetus","pseudopodiellus","","HT","Aprostocetus","pseudopodiellus","","HT"
"Aprostocetus","rimskykorsakovi","","HT","Aprostocetus","rimskykorsakovi","","HT","Aprostocetus","rimskykorsakovi","","HT","Aprostocetus","rimskykorsakovi","","HT"
"Aprostocetus","rufus","","HT","Aprostocetus","rufus","","HT","Aprostocetus","rufus","","HT","Aprostocetus","rufus","","HT"
"Aprostocetus","silvaticus","","HT","Aprostocetus","silvaticus","","HT","Aprostocetus","silvaticus","","HT","Aprostocetus","silvaticus","","HT"
"Aprostocetus","taosae","","HT","Aprostocetus","taosae","","HT","Aprostocetus","taosae","","HT","Aprostocetus","taosae","","HT"
"Aprostocetus","tarsalis","","HT","Aprostocetus","tarsalis","","HT","Aprostocetus","tarsalis","","HT","Aprostocetus","tarsalis","","HT"
"Aprostocetus","yerbamatei","","HT","Aprostocetus","yerbamatei","","HT","Aprostocetus","yerbamatei","","HT","Aprostocetus","yerbamatei","","HT"
"Aprostocetus","zerovae","","HT","Aprostocetus","zerovae","","HT","Aprostocetus","zerovae","","HT","Aprostocetus","zerovae","","HT"
"Arachnolophus","dentatus","","HE","Arachnolophus","dentatus","","HE","Arachnolophus","dentatus","","HE","Arachnolophus","dentatus","","HE"
"Arachnoobius","austini","","HT","Arachnoobius","austini","","HT","Arachnoobius","austini","","HT","Arachnoobius","austini","","HT"
"Arachnophaga","abstrusa","","IE","Arachnophaga","abstrusa","","IE","Arachnophaga","abstrusa","","IE","Arachnophaga","abstrusa","","IE"
"Arachnophaga","aldrichi","","IE","Arachnophaga","aldrichi","","IE","Arachnophaga","aldrichi","","IE","Arachnophaga","aldrichi","","IE"
"Arachnophaga","ferruginea","","IE","Arachnophaga","ferruginea","","IE","Arachnophaga","ferruginea","","IE","Arachnophaga","ferruginea","","IE"
"Arachnophaga","frontalis","","IE","Arachnophaga","frontalis","","IE","Arachnophaga","frontalis","","IE","Arachnophaga","frontalis","","IE"
"Arachnophaga","picardi","","IE","Arachnophaga","picardi","","IE","Arachnophaga","picardi","","IE","Arachnophaga","picardi","","IE"
"Arachnophaga","picea","","IE","Arachnophaga","picea","","IE","Arachnophaga","picea","","IE","Arachnophaga","picea","","IE"
"Arachnophaga","scutata","","IE","Arachnophaga","scutata","","IE","Arachnophaga","scutata","","IE","Arachnophaga","scutata","","IE"
"Arachnopteromalus","dasys","","PZD","Arachnopteromalus","dasys","","PZD","Arachnopteromalus","dasys","","PZD","Arachnopteromalus","dasys","","PZD"
"Aranobroter","","","HT","Aranobroter","","","HT","Aranobroter","","","HT","Aranobroter","","","HT"
"Arescon","","","MY","Arescon","","","MY","Arescon","","","MY","Arescon","","","MY"
"Arescon","enocki","","MY","Arescon","enocki","","MY","Arescon","enocki","","MY","Arescon","enocki","","MY"
"Asecodes","","","HN","Asecodes","","","HN","Asecodes","","","HN","Asecodes","","","HN"
"Asecodes","delucchii","","HN","Asecodes","delucchii","","HN","Asecodes","delucchii","","HN","Asecodes","delucchii","","HN"
"Asecodes","erxias","","HN","Asecodes","erxias","","HN","Asecodes","erxias","","HN","Asecodes","erxias","","HN"
"Asecodes","notandus","","HN","Asecodes","notandus","","HN","Asecodes","notandus","","HN","Asecodes","notandus","","HN"
"Asynacta","ambrostomae","","WTT","Asynacta","ambrostomae","","WTT","Asynacta","ambrostomae","","WTT","Asynacta","ambrostomae","","WTT"
"Asynacta","ophriolae","","WTT","Asynacta","ophriolae","","WTT","Asynacta","ophriolae","","WTT","Asynacta","ophriolae","","WTT"
"Ausasaphes","shiralee","","PA","Ausasaphes","shiralee","","PA","Ausasaphes","shiralee","","PA","Ausasaphes","shiralee","","PA"
"Australsecodes","","","HO","Australsecodes","","","HO","Australsecodes","","","HO","Australsecodes","","","HO"
"Australufens","varicornis","","WTT","Australufens","varicornis","","WTT","Australufens","varicornis","","WTT","Australufens","varicornis","","WTT"
"Axanthosoma","","","JE","Axanthosoma","","","JE","Axanthosoma","","","JE","Axanthosoma","","","JE"
"Axanthosoma","io","","JE","Axanthosoma","io","","JE","Axanthosoma","io","","JE","Axanthosoma","io","","JE"
"Axanthosoma","nigrum","","JE","Axanthosoma","nigrum","","JE","Axanthosoma","nigrum","","JE","Axanthosoma","nigrum","","JE"
"Aximopsis","tumidiscapi","!","JE","Aximopsis","tumidiscapi","!","JE","Aximopsis","tumidiscapi","!","JE","Aximopsis","tumidiscapi","!","JE"
"Baeoanusia","albifunicle","","EE","Baeoanusia","albifunicle","","EE","Baeoanusia","albifunicle","","EE","Baeoanusia","albifunicle","","EE"
"Baeoanusia","xanthopleuron","","EE","Baeoanusia","xanthopleuron","","EE","Baeoanusia","xanthopleuron","","EE","Baeoanusia","xanthopleuron","","EE"
"Baryscapus","","","HT","Baryscapus","","","HT","Baryscapus","","","HT","Baryscapus","","","HT"
"Baryscapus","chlamytis","","HT","Baryscapus","chlamytis","","HT","Baryscapus","chlamytis","","HT","Baryscapus","chlamytis","","HT"
"Baryscapus","cimbiciphilus","","HT","Baryscapus","cimbiciphilus","","HT","Baryscapus","cimbiciphilus","","HT","Baryscapus","cimbiciphilus","","HT"
"Baryscapus","endemus","","HT","Baryscapus","endemus","","HT","Baryscapus","endemus","","HT","Baryscapus","endemus","","HT"
"Baryscapus","evonymellae","","HT","Baryscapus","evonymellae","","HT","Baryscapus","evonymellae","","HT","Baryscapus","evonymellae","","HT"
"Baryscapus","fennahi","","HT","Baryscapus","fennahi","","HT","Baryscapus","fennahi","","HT","Baryscapus","fennahi","","HT"
"Baryscapus","malacosomae","","HT","Baryscapus","malacosomae","","HT","Baryscapus","malacosomae","","HT","Baryscapus","malacosomae","","HT"
"Baryscapus","nigroviolaceus","","HT","Baryscapus","nigroviolaceus","","HT","Baryscapus","nigroviolaceus","","HT","Baryscapus","nigroviolaceus","","HT"
"Baryscapus","oophagus","","HT","Baryscapus","oophagus","","HT","Baryscapus","oophagus","","HT","Baryscapus","oophagus","","HT"
"Baryscapus","phidippi","","HT","Baryscapus","phidippi","","HT","Baryscapus","phidippi","","HT","Baryscapus","phidippi","","HT"
"Baryscapus","servadeii","","HT","Baryscapus","servadeii","","HT","Baryscapus","servadeii","","HT","Baryscapus","servadeii","","HT"
"Baryscapus","transversalis","","HT","Baryscapus","transversalis","","HT","Baryscapus","transversalis","","HT","Baryscapus","transversalis","","HT"
"Bephrata","citri","","JE","Bephrata","citri","","JE","Bephrata","citri","","JE","Bephrata","citri","","JE"
"Brachista","fidiae","","WOC","Brachista","fidiae","","WOC","Brachista","fidiae","","WOC","Brachista","fidiae","","WOC"
"Brachygrammatella","indica","","WOC","Brachygrammatella","indica","","WOC","Brachygrammatella","indica","","WOC","Brachygrammatella","indica","","WOC"
"Brachyplatycerus","minutum","","EE","Brachyplatycerus","minutum","","EE","Brachyplatycerus","minutum","","EE","Brachyplatycerus","minutum","","EE"
"Brachyufens","osborni","","WTT","Brachyufens","osborni","","WTT","Brachyufens","osborni","","WTT","Brachyufens","osborni","","WTT"
"Brasema","","","IE","Brasema","","","IE","Brasema","","","IE","Brasema","","","IE"
"Brasema","rhadinosa","","IE","Brasema","rhadinosa","","IE","Brasema","rhadinosa","","IE","Brasema","rhadinosa","","IE"
"Burksiella","benefica","","WOC","Burksiella","benefica","","WOC","Burksiella","benefica","","WOC","Burksiella","benefica","","WOC"
"Burksiella","chrysomeliphila","","WOC","Burksiella","chrysomeliphila","","WOC","Burksiella","chrysomeliphila","","WOC","Burksiella","chrysomeliphila","","WOC"
"Burksiella","mexicana","","WOC","Burksiella","mexicana","","WOC","Burksiella","mexicana","","WOC","Burksiella","mexicana","","WOC"
"Burksiella","platensis","","WOC","Burksiella","platensis","","WOC","Burksiella","platensis","","WOC","Burksiella","platensis","","WOC"
"Burksiella","spirita","","WOC","Burksiella","spirita","","WOC","Burksiella","spirita","","WOC","Burksiella","spirita","","WOC"
"Caenocrepis","arenicola","","PZD","Caenocrepis","arenicola","","PZD","Caenocrepis","arenicola","","PZD","Caenocrepis","arenicola","","PZD"
"Caenocrepis","bothynoderi","","PZD","Caenocrepis","bothynoderi","","PZD","Caenocrepis","bothynoderi","","PZD","Caenocrepis","bothynoderi","","PZD"
"Cales","noacki","","BC","Cales","noacki","","BC","Cales","noacki","","BC","Cales","noacki","","BC"
"Callimomoides","monochaphagae","","PU","Callimomoides","monochaphagae","","PU","Callimomoides","monochaphagae","","PU","Callimomoides","monochaphagae","","PU"
"Callimomoides","ovivorus","","PU","Callimomoides","ovivorus","","PU","Callimomoides","ovivorus","","PU","Callimomoides","ovivorus","","PU"
"Camptoptera","","","MY","Camptoptera","","","MY","Camptoptera","","","MY","Camptoptera","","","MY"
"Camptoptera","cardui","","MY","Camptoptera","cardui","","MY","Camptoptera","cardui","","MY","Camptoptera","cardui","","MY"
"Camptoptera","papaveris","","MY","Camptoptera","papaveris","","MY","Camptoptera","papaveris","","MY","Camptoptera","papaveris","","MY"
"Canberrana","hypera","","PZD","Canberrana","hypera","","PZD","Canberrana","hypera","","PZD","Canberrana","hypera","","PZD"
"Caraphractus","","","MY","Caraphractus","","","MY","Caraphractus","","","MY","Caraphractus","","","MY"
"Caraphractus","cinctus","","MY","Caraphractus","cinctus","","MY","Caraphractus","cinctus","","MY","Caraphractus","cinctus","","MY"
"Cassidocida","aspidomorphae","","UT","Cassidocida","aspidomorphae","","UT","Cassidocida","aspidomorphae","","UT","Cassidocida","aspidomorphae","","UT"
"Catolaccus","","","PZD","Catolaccus","","","PZD","Catolaccus","","","PZD","Catolaccus","","","PZD"
"Centrodora","","","BA","Centrodora","","","BA","Centrodora","","","BA","Centrodora","","","BA"
"Centrodora","acridiphagus","","BA","Centrodora","acridiphagus","","BA","Centrodora","acridiphagus","","BA","Centrodora","acridiphagus","","BA"
"Centrodora","amoena","","BA","Centrodora","amoena","","BA","Centrodora","amoena","","BA","Centrodora","amoena","","BA"
"Centrodora","azizi","","BA","Centrodora","azizi","","BA","Centrodora","azizi","","BA","Centrodora","azizi","","BA"
"Centrodora","cercopiphagus","","BA","Centrodora","cercopiphagus","","BA","Centrodora","cercopiphagus","","BA","Centrodora","cercopiphagus","","BA"
"Centrodora","cicadae","","BA","Centrodora","cicadae","","BA","Centrodora","cicadae","","BA","Centrodora","cicadae","","BA"
"Centrodora","crocata","","BA","Centrodora","crocata","","BA","Centrodora","crocata","","BA","Centrodora","crocata","","BA"
"Centrodora","damoni","","BA","Centrodora","damoni","","BA","Centrodora","damoni","","BA","Centrodora","damoni","","BA"
"Centrodora","darwini","","BA","Centrodora","darwini","","BA","Centrodora","darwini","","BA","Centrodora","darwini","","BA"
"Centrodora","dorsati","","BA","Centrodora","dorsati","","BA","Centrodora","dorsati","","BA","Centrodora","dorsati","","BA"
"Centrodora","flava","","BA","Centrodora","flava","","BA","Centrodora","flava","","BA","Centrodora","flava","","BA"
"Centrodora","homopterae","","BA","Centrodora","homopterae","","BA","Centrodora","homopterae","","BA","Centrodora","homopterae","","BA"
"Centrodora","idioceri","","BA","Centrodora","idioceri","","BA","Centrodora","idioceri","","BA","Centrodora","idioceri","","BA"
"Centrodora","italica","","BA","Centrodora","italica","","BA","Centrodora","italica","","BA","Centrodora","italica","","BA"
"Centrodora","kokila","","BA","Centrodora","kokila","","BA","Centrodora","kokila","","BA","Centrodora","kokila","","BA"
"Centrodora","livens","","BA","Centrodora","livens","","BA","Centrodora","livens","","BA","Centrodora","livens","","BA"
"Centrodora","locustarum","","BA","Centrodora","locustarum","","BA","Centrodora","locustarum","","BA","Centrodora","locustarum","","BA"
"Centrodora","mireyae","","BA","Centrodora","mireyae","","BA","Centrodora","mireyae","","BA","Centrodora","mireyae","","BA"
"Centrodora","oophaga","","BA","Centrodora","oophaga","","BA","Centrodora","oophaga","","BA","Centrodora","oophaga","","BA"
"Centrodora","orchelimumis","","BA","Centrodora","orchelimumis","","BA","Centrodora","orchelimumis","","BA","Centrodora","orchelimumis","","BA"
"Centrodora","orthopterae","","BA","Centrodora","orthopterae","","BA","Centrodora","orthopterae","","BA","Centrodora","orthopterae","","BA"
"Centrodora","penthimiae","","BA","Centrodora","penthimiae","","BA","Centrodora","penthimiae","","BA","Centrodora","penthimiae","","BA"
"Centrodora","perkinsi","","BA","Centrodora","perkinsi","","BA","Centrodora","perkinsi","","BA","Centrodora","perkinsi","","BA"
"Centrodora","salicis","","BA","Centrodora","salicis","","BA","Centrodora","salicis","","BA","Centrodora","salicis","","BA"
"Centrodora","scolypopae","","BA","Centrodora","scolypopae","","BA","Centrodora","scolypopae","","BA","Centrodora","scolypopae","","BA"
"Centrodora","speciosissima","","BA","Centrodora","speciosissima","","BA","Centrodora","speciosissima","","BA","Centrodora","speciosissima","","BA"
"Centrodora","tomaspidis","","BA","Centrodora","tomaspidis","","BA","Centrodora","tomaspidis","","BA","Centrodora","tomaspidis","","BA"
"Centrodora","xiphidii","","BA","Centrodora","xiphidii","","BA","Centrodora","xiphidii","","BA","Centrodora","xiphidii","","BA"
"Ceratogramma","etiennei","","WTT","Ceratogramma","etiennei","","WTT","Ceratogramma","etiennei","","WTT","Ceratogramma","etiennei","","WTT"
"Chaetostricha","","","WOC","Chaetostricha","","","WOC","Chaetostricha","","","WOC","Chaetostricha","","","WOC"
"Chaetostricha","fumipennis","","WOC","Chaetostricha","fumipennis","","WOC","Chaetostricha","fumipennis","","WOC","Chaetostricha","fumipennis","","WOC"
"Chaetostricha","magniclavata","","WOC","Chaetostricha","magniclavata","","WOC","Chaetostricha","magniclavata","","WOC","Chaetostricha","magniclavata","","WOC"
"Chaetostricha","miridiphaga","","WOC","Chaetostricha","miridiphaga","","WOC","Chaetostricha","miridiphaga","","WOC","Chaetostricha","miridiphaga","","WOC"
"Chaetostricha","thanatophora","","WOC","Chaetostricha","thanatophora","","WOC","Chaetostricha","thanatophora","","WOC","Chaetostricha","thanatophora","","WOC"
"Chaetostricha","walkeri","","WOC","Chaetostricha","walkeri","","WOC","Chaetostricha","walkeri","","WOC","Chaetostricha","walkeri","","WOC"
"Cheiloneurus","","","EE","Cheiloneurus","","","EE","Cheiloneurus","","","EE","Cheiloneurus","","","EE"
"Cheiloneurus","latifrons","","EE","Cheiloneurus","latifrons","","EE","Cheiloneurus","latifrons","","EE","Cheiloneurus","latifrons","","EE"
"Cheiloneurus","pyrillae","","EE","Cheiloneurus","pyrillae","","EE","Cheiloneurus","pyrillae","","EE","Cheiloneurus","pyrillae","","EE"
"Chrysochalcissa","afra","","VO","Chrysochalcissa","afra","","VO","Chrysochalcissa","afra","","VO","Chrysochalcissa","afra","","VO"
"Chrysochalcissa","olivacea","","VO","Chrysochalcissa","olivacea","","VO","Chrysochalcissa","olivacea","","VO","Chrysochalcissa","olivacea","","VO"
"Chrysochalcissa","oviceps","","VO","Chrysochalcissa","oviceps","","VO","Chrysochalcissa","oviceps","","VO","Chrysochalcissa","oviceps","","VO"
"Chrysochalcissa","physomeri","","VO","Chrysochalcissa","physomeri","","VO","Chrysochalcissa","physomeri","","VO","Chrysochalcissa","physomeri","","VO"
"Chrysocharis","nephereus","","HN","Chrysocharis","nephereus","","HN","Chrysocharis","nephereus","","HN","Chrysocharis","nephereus","","HN"
"Chrysocharis","nitidifrons","","HN","Chrysocharis","nitidifrons","","HN","Chrysocharis","nitidifrons","","HN","Chrysocharis","nitidifrons","","HN"
"Chrysocharodes","rotundiventris","","HN","Chrysocharodes","rotundiventris","","HN","Chrysocharodes","rotundiventris","","HN","Chrysocharodes","rotundiventris","","HN"
"Chrysomelechthrus","descampsi","","EE","Chrysomelechthrus","descampsi","","EE","Chrysomelechthrus","descampsi","","EE","Chrysomelechthrus","descampsi","","EE"
"Chrysonotomyia","","","HN","Chrysonotomyia","","","HN","Chrysonotomyia","","","HN","Chrysonotomyia","","","HN"
"Chrysonotomyia","appannai","","HN","Chrysonotomyia","appannai","","HN","Chrysonotomyia","appannai","","HN","Chrysonotomyia","appannai","","HN"
"Chrysonotomyia","locustivora","","HN","Chrysonotomyia","locustivora","","HN","Chrysonotomyia","locustivora","","HN","Chrysonotomyia","locustivora","","HN"
"Cirrospilus","argei","","HE","Cirrospilus","argei","","HE","Cirrospilus","argei","","HE","Cirrospilus","argei","","HE"
"Cirrospilus","iphigenia","","HE","Cirrospilus","iphigenia","","HE","Cirrospilus","iphigenia","","HE","Cirrospilus","iphigenia","","HE"
"Cirrospilus","margiscutellum","","HE","Cirrospilus","margiscutellum","","HE","Cirrospilus","margiscutellum","","HE","Cirrospilus","margiscutellum","","HE"
"Cirrospilus","tricuspidatus","","HE","Cirrospilus","tricuspidatus","","HE","Cirrospilus","tricuspidatus","","HE","Cirrospilus","tricuspidatus","","HE"
"Cirrospilus","vittatus","","HE","Cirrospilus","vittatus","","HE","Cirrospilus","vittatus","","HE","Cirrospilus","vittatus","","HE"
"Cleruchus","","","MY","Cleruchus","","","MY","Cleruchus","","","MY","Cleruchus","","","MY"
"Cleruchus","pieloui","","MY","Cleruchus","pieloui","","MY","Cleruchus","pieloui","","MY","Cleruchus","pieloui","","MY"
"Closterocerus","","","HN","Closterocerus","","","HN","Closterocerus","","","HN","Closterocerus","","","HN"
"Closterocerus","cinctipennis","","HN","Closterocerus","cinctipennis","","HN","Closterocerus","cinctipennis","","HN","Closterocerus","cinctipennis","","HN"
"Closterocerus","leptocerus","","HN","Closterocerus","leptocerus","","HN","Closterocerus","leptocerus","","HN","Closterocerus","leptocerus","","HN"
"Closterocerus","promecothecae","","HN","Closterocerus","promecothecae","","HN","Closterocerus","promecothecae","","HN","Closterocerus","promecothecae","","HN"
"Closterocerus","ruforum","","HN","Closterocerus","ruforum","","HN","Closterocerus","ruforum","","HN","Closterocerus","ruforum","","HN"
"Closterocerus","splendens","","HN","Closterocerus","splendens","","HN","Closterocerus","splendens","","HN","Closterocerus","splendens","","HN"
"Closterocerus","trifasciatus","","HN","Closterocerus","trifasciatus","","HN","Closterocerus","trifasciatus","","HN","Closterocerus","trifasciatus","","HN"
"Coccidencyrtus","","","EE","Coccidencyrtus","","","EE","Coccidencyrtus","","","EE","Coccidencyrtus","","","EE"
"Coelopencyrtus","claviger","","EE","Coelopencyrtus","claviger","","EE","Coelopencyrtus","claviger","","EE","Coelopencyrtus","claviger","","EE"
"Comastichus","zopheros","","HT","Comastichus","zopheros","","HT","Comastichus","zopheros","","HT","Comastichus","zopheros","","HT"
"Comperia","merceti","","EE","Comperia","merceti","","EE","Comperia","merceti","","EE","Comperia","merceti","","EE"
"Copidosoma","","","EE","Copidosoma","","","EE","Copidosoma","","","EE","Copidosoma","","","EE"
"Copidosoma","deceptor","","EE","Copidosoma","deceptor","","EE","Copidosoma","deceptor","","EE","Copidosoma","deceptor","","EE"
"Copidosoma","floridanum","","EE","Copidosoma","floridanum","","EE","Copidosoma","floridanum","","EE","Copidosoma","floridanum","","EE"
"Copidosoma","koehleri","","EE","Copidosoma","koehleri","","EE","Copidosoma","koehleri","","EE","Copidosoma","koehleri","","EE"
"Copidosoma","peticus","","EE","Copidosoma","peticus","","EE","Copidosoma","peticus","","EE","Copidosoma","peticus","","EE"
"Copidosoma","truncatellum","","EE","Copidosoma","truncatellum","","EE","Copidosoma","truncatellum","","EE","Copidosoma","truncatellum","","EE"
"Cosmocomoidea","abbreviata","","MY","Cosmocomoidea","abbreviata","","MY","Cosmocomoidea","abbreviata","","MY","Cosmocomoidea","abbreviata","","MY"
"Cosmocomoidea","annulicornis","","MY","Cosmocomoidea","annulicornis","","MY","Cosmocomoidea","annulicornis","","MY","Cosmocomoidea","annulicornis","","MY"
"Cosmocomoidea","ashmeadi","","MY","Cosmocomoidea","ashmeadi","","MY","Cosmocomoidea","ashmeadi","","MY","Cosmocomoidea","ashmeadi","","MY"
"Cosmocomoidea","atra","","MY","Cosmocomoidea","atra","","MY","Cosmocomoidea","atra","","MY","Cosmocomoidea","atra","","MY"
"Cosmocomoidea","atriclava","","MY","Cosmocomoidea","atriclava","","MY","Cosmocomoidea","atriclava","","MY","Cosmocomoidea","atriclava","","MY"
"Cosmocomoidea","barbos","","MY","Cosmocomoidea","barbos","","MY","Cosmocomoidea","barbos","","MY","Cosmocomoidea","barbos","","MY"
"Cosmocomoidea","brachyurus","","MY","Cosmocomoidea","brachyurus","","MY","Cosmocomoidea","brachyurus","","MY","Cosmocomoidea","brachyurus","","MY"
"Cosmocomoidea","capitata","","MY","Cosmocomoidea","capitata","","MY","Cosmocomoidea","capitata","","MY","Cosmocomoidea","capitata","","MY"
"Cosmocomoidea","carahuensis","","MY","Cosmocomoidea","carahuensis","","MY","Cosmocomoidea","carahuensis","","MY","Cosmocomoidea","carahuensis","","MY"
"Cosmocomoidea","chula","","MY","Cosmocomoidea","chula","","MY","Cosmocomoidea","chula","","MY","Cosmocomoidea","chula","","MY"
"Cosmocomoidea","deleoni","","MY","Cosmocomoidea","deleoni","","MY","Cosmocomoidea","deleoni","","MY","Cosmocomoidea","deleoni","","MY"
"Cosmocomoidea","fasciata","","MY","Cosmocomoidea","fasciata","","MY","Cosmocomoidea","fasciata","","MY","Cosmocomoidea","fasciata","","MY"
"Cosmocomoidea","garchamp","","MY","Cosmocomoidea","garchamp","","MY","Cosmocomoidea","garchamp","","MY","Cosmocomoidea","garchamp","","MY"
"Cosmocomoidea","incompta","","MY","Cosmocomoidea","incompta","","MY","Cosmocomoidea","incompta","","MY","Cosmocomoidea","incompta","","MY"
"Cosmocomoidea","kiskis","","MY","Cosmocomoidea","kiskis","","MY","Cosmocomoidea","kiskis","","MY","Cosmocomoidea","kiskis","","MY"
"Cosmocomoidea","logarzoi","","MY","Cosmocomoidea","logarzoi","","MY","Cosmocomoidea","logarzoi","","MY","Cosmocomoidea","logarzoi","","MY"
"Cosmocomoidea","marilandica","","MY","Cosmocomoidea","marilandica","","MY","Cosmocomoidea","marilandica","","MY","Cosmocomoidea","marilandica","","MY"
"Cosmocomoidea","morgani","","MY","Cosmocomoidea","morgani","","MY","Cosmocomoidea","morgani","","MY","Cosmocomoidea","morgani","","MY"
"Cosmocomoidea","morrilli","","MY","Cosmocomoidea","morrilli","","MY","Cosmocomoidea","morrilli","","MY","Cosmocomoidea","morrilli","","MY"
"Cosmocomoidea","mumu","","MY","Cosmocomoidea","mumu","","MY","Cosmocomoidea","mumu","","MY","Cosmocomoidea","mumu","","MY"
"Cosmocomoidea","nigrithorax","","MY","Cosmocomoidea","nigrithorax","","MY","Cosmocomoidea","nigrithorax","","MY","Cosmocomoidea","nigrithorax","","MY"
"Cosmocomoidea","novifasciata","","MY","Cosmocomoidea","novifasciata","","MY","Cosmocomoidea","novifasciata","","MY","Cosmocomoidea","novifasciata","","MY"
"Cosmocomoidea","oxypygus","","MY","Cosmocomoidea","oxypygus","","MY","Cosmocomoidea","oxypygus","","MY","Cosmocomoidea","oxypygus","","MY"
"Cosmocomoidea","rakitovi","","MY","Cosmocomoidea","rakitovi","","MY","Cosmocomoidea","rakitovi","","MY","Cosmocomoidea","rakitovi","","MY"
"Cosmocomoidea","tremulae","","MY","Cosmocomoidea","tremulae","","MY","Cosmocomoidea","tremulae","","MY","Cosmocomoidea","tremulae","","MY"
"Cosmocomoidea","triguttata","","MY","Cosmocomoidea","triguttata","","MY","Cosmocomoidea","triguttata","","MY","Cosmocomoidea","triguttata","","MY"
"Cosmocomoidea","tuberculifemur","","MY","Cosmocomoidea","tuberculifemur","","MY","Cosmocomoidea","tuberculifemur","","MY","Cosmocomoidea","tuberculifemur","","MY"
"Cosmocomoidea","uat","","MY","Cosmocomoidea","uat","","MY","Cosmocomoidea","uat","","MY","Cosmocomoidea","uat","","MY"
"Cosmocomoidea","virlai","","MY","Cosmocomoidea","virlai","","MY","Cosmocomoidea","virlai","","MY","Cosmocomoidea","virlai","","MY"
"Cosmocomoidea","walkerjonesi","","MY","Cosmocomoidea","walkerjonesi","","MY","Cosmocomoidea","walkerjonesi","","MY","Cosmocomoidea","walkerjonesi","","MY"
"Dahlbominus","fuscipennis","","HE","Dahlbominus","fuscipennis","","HE","Dahlbominus","fuscipennis","","HE","Dahlbominus","fuscipennis","","HE"
"Dicarnosis","sinuatis","","ET","Dicarnosis","sinuatis","","ET","Dicarnosis","sinuatis","","ET","Dicarnosis","sinuatis","","ET"
"Dicopomorpha","echmepterygis","","MY","Dicopomorpha","echmepterygis","","MY","Dicopomorpha","echmepterygis","","MY","Dicopomorpha","echmepterygis","","MY"
"Dicopus","longipes","","MY","Dicopus","longipes","","MY","Dicopus","longipes","","MY","Dicopus","longipes","","MY"
"Dionencyrtus","fiorentinoi","","EE","Dionencyrtus","fiorentinoi","","EE","Dionencyrtus","fiorentinoi","","EE","Dionencyrtus","fiorentinoi","","EE"
"Dipriocampe","","","UT","Dipriocampe","","","UT","Dipriocampe","","","UT","Dipriocampe","","","UT"
"Dipriocampe","diprioni","","UT","Dipriocampe","diprioni","","UT","Dipriocampe","diprioni","","UT","Dipriocampe","diprioni","","UT"
"Doirania","leefmansi","","WOO","Doirania","leefmansi","","WOO","Doirania","leefmansi","","WOO","Doirania","leefmansi","","WOO"
"Emersonella","","","HN","Emersonella","","","HN","Emersonella","","","HN","Emersonella","","","HN"
"Emersonella","albicoxa","","HN","Emersonella","albicoxa","","HN","Emersonella","albicoxa","","HN","Emersonella","albicoxa","","HN"
"Emersonella","appendigaster","","HN","Emersonella","appendigaster","","HN","Emersonella","appendigaster","","HN","Emersonella","appendigaster","","HN"
"Emersonella","carballoi","","HN","Emersonella","carballoi","","HN","Emersonella","carballoi","","HN","Emersonella","carballoi","","HN"
"Emersonella","cuignetae","","HN","Emersonella","cuignetae","","HN","Emersonella","cuignetae","","HN","Emersonella","cuignetae","","HN"
"Emersonella","curculivora","","HN","Emersonella","curculivora","","HN","Emersonella","curculivora","","HN","Emersonella","curculivora","","HN"
"Emersonella","desantisi","","HN","Emersonella","desantisi","","HN","Emersonella","desantisi","","HN","Emersonella","desantisi","","HN"
"Emersonella","frieirocostai","","HN","Emersonella","frieirocostai","","HN","Emersonella","frieirocostai","","HN","Emersonella","frieirocostai","","HN"
"Emersonella","fuscipennis","","HN","Emersonella","fuscipennis","","HN","Emersonella","fuscipennis","","HN","Emersonella","fuscipennis","","HN"
"Emersonella","horismenoides","","HN","Emersonella","horismenoides","","HN","Emersonella","horismenoides","","HN","Emersonella","horismenoides","","HN"
"Emersonella","lemae","","HN","Emersonella","lemae","","HN","Emersonella","lemae","","HN","Emersonella","lemae","","HN"
"Emersonella","nigricans","","HN","Emersonella","nigricans","","HN","Emersonella","nigricans","","HN","Emersonella","nigricans","","HN"
"Emersonella","niveipes","","HN","Emersonella","niveipes","","HN","Emersonella","niveipes","","HN","Emersonella","niveipes","","HN"
"Emersonella","ooecia","","HN","Emersonella","ooecia","","HN","Emersonella","ooecia","","HN","Emersonella","ooecia","","HN"
"Emersonella","palmae","","HN","Emersonella","palmae","","HN","Emersonella","palmae","","HN","Emersonella","palmae","","HN"
"Emersonella","planiceps","","HN","Emersonella","planiceps","","HN","Emersonella","planiceps","","HN","Emersonella","planiceps","","HN"
"Emersonella","pubipennis","","HN","Emersonella","pubipennis","","HN","Emersonella","pubipennis","","HN","Emersonella","pubipennis","","HN"
"Emersonella","reticulata","","HN","Emersonella","reticulata","","HN","Emersonella","reticulata","","HN","Emersonella","reticulata","","HN"
"Emersonella","rotunda","","HN","Emersonella","rotunda","","HN","Emersonella","rotunda","","HN","Emersonella","rotunda","","HN"
